name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,01-01-2004,60,268000,0.419,0.00171,0.932,0,0.137,0.445,-3.604,0.106,169.881,1,4,Energetic
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,24-10-2000,68,184640,0.603,0.0144,0.908,0,0.671,0.457,-5.254,0.184,133.063,11,4,Energetic
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,15-05-2007,0,189200,0.331,0.00344,0.876,0.000835,0.732,0.299,-1.894,0.0603,175.009,5,4,Energetic
Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,09-11-2018,55,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4,Energetic
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,29-07-2016,38,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4,Energetic
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,30-10-2007,13,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4,Energetic
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,16-11-2018,51,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Energetic
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,01-09-2005,39,225440,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,3,Energetic
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,10-11-2003,39,219573,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,Energetic
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,12-11-2002,63,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4,Energetic
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,24-07-2006,22,288400,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,4,Energetic
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,16-09-2003,56,216026,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,3,Energetic
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,13-04-2018,55,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4,Energetic
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,01-01-2003,0,238466,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,4,Energetic
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,03-06-2016,56,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4,Energetic
Bat Country,City of Evil,Avenged Sevenfold,6irNz2hSXvd2QJG0vXyBFR,06-06-2005,39,311813,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,4,Energetic
Beautiful Night,Burden Brothers EP,Burden Brothers,4zhRVs7eqgdroy5E3kKEs2,13-08-2002,38,259529,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.133,7,4,Energetic
Billinghurst,Damon EP,Jeremy Olander,6B2jQL05apmJlDZtPIxD3R,21-04-2017,0,456585,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,4,Energetic
Blackout,Blackout,(Hed) P.E.,6yTnvHRhUuuaoxy4dHzLGo,2003,37,233266,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,4,Energetic
Blame,Blame,Manse,3TSZpRzSEKL1dFfpd1JDoF,26-06-2019,53,180937,0.612,0.619,0.68,0,0.0786,0.346,-4.925,0.0346,127.909,0,4,Energetic
Blaster,Blaster,Marc Benjamin,1fMZR4DD2mE0iXginD9fOc,23-11-2018,0,159523,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,4,Energetic
Bleed American,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,17-07-2001,63,181493,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,4,Energetic
Boiler,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,5UaOg4eymp98fxKyx6SHmB,01-01-2000,0,420266,0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,6,4,Energetic
Bottom of a Bottle,Shapeshifter,Smile Empty Soul,1XZrMIHtCVJPqK29Mzm44G,01-04-2016,61,221826,0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,6,4,Energetic
Break Stuff,Significant Other (Explicit),Limp Bizkit,1rJ1xX2XBC8nesYapeO6Av,16-06-1999,0,166706,0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,8,4,Energetic
Car Underwater,What To Do When You Are Dead,Armor For Sleep,4CilIy3dA3P9Tq2NFqKEOX,2005,52,228706,0.435,0.014,0.774,0,0.127,0.448,-5.052,0.0631,147.466,2,4,Energetic
Children Of Today,Children Of Today,Blasterjaxx,2106G7MY2XnVyqij2bJVGH,19-04-2019,58,169384,0.507,0.00892,0.836,0.000598,0.485,0.333,-4.357,0.038,130.027,6,4,Energetic
Chop Suey!,Toxicity,System Of A Down,2DlHlPMa4M17kufBvI2lEN,04-09-2001,79,210240,0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,7,4,Energetic
Click Click Boom,Every Six Seconds,Saliva,1LMVGL3030W3mGmRrd2hCm,01-01-2001,0,252400,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,4,Energetic
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Cold as Stone (Remixes) (feat. Charlotte Lawrence),Kaskade,6chZg1OMXz9VN3MQCr4cNf,04-05-2018,57,228666,0.619,0.237,0.663,0,0.111,0.142,-6.937,0.0366,123.93,7,4,Energetic
Come Out And Play (Keep ‘Em Separated),Greatest Hits,The Offspring,0Yb5Kfpf3boElZNa61wPdJ,21-06-2005,68,197800,0.476,0.0535,0.856,6.75E-06,0.0846,0.847,-3.764,0.161,158.671,7,4,Energetic
Coming Undone,Coming Undone,Korn,261QAU5PAmYYv0KPr0vc49,2005,0,199773,0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,2,4,Energetic
Count That - R3HAB Edit,Count That (R3HAB Edit),Steff da Campo,1J1wnDwBjkFvDVOxNOLVjY,09-11-2018,41,125161,0.686,0.0957,0.955,0.00621,0.0809,0.447,-3.665,0.113,123.978,1,4,Energetic
Crawling In The Dark,Hoobastank,Hoobastank,1eK4KsyjAzr2xJ86Tj5SWa,01-01-2001,0,175026,0.592,0.000295,0.932,7.59E-05,0.138,0.698,-4.491,0.0885,93.675,6,4,Energetic
Crystal Baller - 2006 Remaster,A Collection,Third Eye Blind,0uESMJnrEKYnZoRbNTvmpB,18-07-2006,31,255760,0.379,0.0142,0.695,1.13E-05,0.196,0.432,-5.922,0.0705,193.672,0,4,Energetic
Dancing Through Sunday,Sing The Sorrow,AFI,4O5GKVbnQ8U9BxYWu0hIug,2003,47,146666,0.555,0.00291,0.98,0,0.279,0.643,-2.849,0.0947,114.078,3,4,Energetic
Dani California,Stadium Arcadium,Red Hot Chili Peppers,10Nmj3JCNoMeBQ87uw5j8k,09-05-2006,77,282160,0.556,0.0193,0.913,8.59E-06,0.346,0.73,-2.36,0.0437,96.184,0,4,Energetic
Devotion And Desire,Bayside,Bayside,27O9FuS1UIm6ZyLplgLQAH,23-08-2005,54,209626,0.296,0.000702,0.9,0,0.339,0.286,-4.918,0.0922,184.256,2,4,Energetic
Do Bad Well (feat. Nevve),Do Bad Well (feat. Nevve),KSHMR,7zHrHnVSQwI95FGHewXDl8,11-10-2019,62,204374,0.604,0.0512,0.894,0.000315,0.234,0.415,-4.755,0.113,127.964,5,4,Energetic
